seg_stem,from,to
images__train__exp26_rfbat_121e8da461ebdc5ffd799db5,train,test
images__train__exp26_rfbat_621ca34eca086af5a51a30d0,train,test
images__train__exp26_rfbat_d5809b8a8fe957a9d4cf9843,train,test
images__train__exp26_rfbat_d7cafede1111b700a8f4b9eb,train,test
images__train__exp26_rfbat_43de926654d410be12a1eedd,train,test
images__train__exp26_rfbat_e8507fa1fddd2332dac8058c,train,test
images__train__s1_lm_1fc46e5d302153356c27ec75,train,test
images__train__exp26_rfbat_4bc56fa8f8113dc62b0feb15,train,test
images__train__exp26_rfbat_57ff8ee6af93978f5cd31b2f,train,test
images__train__exp26_rfbat_8810a9ced955fbfb182075e9,train,test
images__train__exp26_rfbat_0ce66f255c40ec21baed94d7,train,test
images__train__exp26_rfbat_4d4392401b5706eed516b7a3,train,test
images__train__exp26_rfbat_4e1d3162bfbdf96e36789c51,train,test
images__train__exp26_rfbat_717cd40b788fe02568cdea9c,train,test
images__train__exp26_rfbat_7241e6bff8ee46613e721c0c,train,test
images__train__exp26_rfbat_f5e72b8cad09aec9838a5e00,train,test
images__train__exp26_rfbat_4cb425ff425f78572258d4b9,train,test
images__train__exp26_rfbat_7a0bc9809d3366283d96b1fd,train,test
images__train__exp26_rfbat_95af7fc31250f7981dd523f9,train,test
images__train__exp26_rfbat_ecad03643954d4c11c3de857,train,test
images__train__exp26_gen_8a26596c3350e6006431bc7c,train,test
images__train__exp26_gen_bddce629a005665833ab3abf,train,test
images__train__exp26_gen_e66488607f203fd1346c8bbe,train,test
images__train__s1_lm_ce79e7c7aab665792cf36238,train,test
images__train__exp26_gen_2cde45da06fdec860b19a238,train,test
images__train__exp26_gen_61392f3076c5356f57c65a4e,train,test
images__train__exp26_gen_6ef18dcfbf31463ae3ae884b,train,test
images__train__exp26_rfbat_5deca9a1f870220e42f58ffa,train,test
images__train__exp26_gen_0bcce1e273fa4e85712953f8,train,test
images__train__exp26_gen_2c883b43ab31cb3aa0f426a5,train,test
images__train__exp26_gen_6b52a65c1cf4c681ee914d1c,train,test
images__train__exp26_gen_ce1ab6fe9ad05a31e5e8408f,train,test
images__train__exp26_rfbat_21932e6e722d81d36548f0bc,train,test
images__train__exp26_rfbat_f13e10b10cf67dc2405d0555,train,test
images__train__exp26_gen_078103f3e64ba9f323beaa6b,train,test
images__train__exp26_gen_5e2aa04149f726479ec9a138,train,test
images__train__exp26_gen_5e7a8d9d230ed363e4d96365,train,test
images__train__exp26_gen_d2d74538fa8fee0d077bead7,train,test
images__train__s1_auto_3e94e95601b189d55cb3cb75,train,test
images__train__s1_auto_0defce5e3ea9fcb3cd264b10,train,test
images__train__exp26_rfbat_2532cb063e6f8ffac7923283,train,test
images__train__exp26_rfbat_556fc155f43d29cd0fd6003d,train,test
images__train__exp26_rfbat_794dafa28d067a8bc7c5ae6f,train,test
images__train__exp26_rfbat_999e3e0094c7799ad061f494,train,test
images__train__exp26_rfbat_ce8f1a3ab85d163a1f1e6ef0,train,test
images__train__exp26_rfbat_efb2e006e707193fa6cb1b48,train,test
images__train__exp26_rfbat_0d635da8a242cf8283c30ad0,train,test
images__train__exp26_rfbat_22251a1f2ed1730130a7b78e,train,test
images__train__exp26_rfbat_39646ab1243690991ec2b239,train,test
images__train__exp26_rfbat_ee9360f920331d667d295ac9,train,test
images__train__exp26_gen_1b77c2a5a86e90096c1aa72b,train,test
images__train__exp26_gen_65efba8ec8b81de9eba6b930,train,test
images__train__exp26_gen_71178fb9a0d32e926b06455c,train,test
images__train__exp26_gen_c35422f06b9cb87d4e1b7c4a,train,test
images__train__s1_auto_bd27e647caa589104bc9cf82,train,test
images__train__exp26_rfbat_160801f05208b24d8b053099,train,test
images__train__exp26_rfbat_8bb49f76485f7215a0c4469e,train,test
images__train__exp26_rfbat_01fa8ff0acba1f39a16066a3,train,test
images__train__exp26_rfbat_418bcfeab8fc837876fde7bd,train,test
images__train__exp26_rfbat_76be6911a089d6ebcc08bf00,train,test
images__train__exp26_rfbat_9096a268bf9642c7424b9a23,train,test
images__train__exp26_rfbat_a86b070d0b62e233b5cdfd6f,train,test
images__train__exp26_rfbat_c62ef5e25430787e62c19817,train,test
images__train__exp26_gen_3af24b8dbc6c7a2061e84154,train,test
images__train__exp26_gen_a83e305d1333a0283d893e9e,train,test
images__train__exp26_gen_c3ea4e5230e32e18f09fe3b1,train,test
images__train__s1_auto_42ab6771c8ce100b683df33b,train,test
images__train__exp26_gen_3aa0df6e3e0fd86b528f1389,train,test
images__train__exp26_gen_69089876e05e4d7d4232717f,train,test
images__train__exp26_gen_930d10c83ab1cdb9b8715bd9,train,test
images__train__exp26_gen_b458b7bd752be0d3ee0fb175,train,test
images__train__s1_auto_d32d11d7e18121b908d7e382,train,test
images__train__s1_lm_53f59488dc05538c646bebb4,train,test
images__train__exp26_gen_23b3b0c925e070ed8fd81a9b,train,test
images__train__exp26_gen_99c8dbc3122f66e307864590,train,test
images__train__exp26_gen_bdd3aaa091ebcffda0ea17d5,train,test
images__train__exp26_gen_ee487bc714be806e19d9cb1c,train,test
images__train__s1_auto_40c044c1b08444c3dd36f1bd,train,test
images__train__exp26_gen_34bfdd032b1b3925b389c9d9,train,test
images__train__exp26_gen_9308fb892aad4e742a48646c,train,test
images__train__exp26_gen_f4e5db6c21c2debcb4649493,train,test
images__train__exp26_gen_2240ee233ee40d61610e064e,train,test
images__train__exp26_gen_96ad9763982b5326da038374,train,test
images__train__exp26_gen_c3a5fafb8939e7c23b6f2e28,train,test
images__train__s1_auto_c2202c0322702432db8f66da,train,test
images__train__s1_lm_5798aa307c005bcd0340b16f,train,test
images__train__exp26_rfbat_158a0215d128ed2fcb959cba,train,test
images__train__exp26_rfbat_22756a59eb07683c97b4e070,train,test
images__train__exp26_rfbat_2d212a141600db7f80792555,train,test
images__train__exp26_rfbat_2da1e2b9869896864f69853e,train,test
images__train__exp26_rfbat_4e9b51a500b9ef8aaa9b0fe0,train,test
images__train__s1_auto_f49aa51a70694c54698b6670,train,test
images__train__exp26_gen_06777747685c4f883bd58a6d,train,test
images__train__exp26_gen_1bedc40d68bcc3981a469f4a,train,test
images__train__exp26_gen_aba6df78ba40c7e16469b11c,train,test
images__train__s1_auto_f2ecd5c9e529eb4848bd7a7d,train,test
images__train__exp26_gen_4750a4d185e32a4cbd1189b9,train,test
images__train__exp26_gen_b51e88298133e0533800c2c7,train,test
images__train__exp26_gen_f1692e5740c3f61a9d4bb164,train,test
images__train__exp26_gen_fbbf4a794baf9f45da697fd5,train,test
images__train__exp26_rfbat_19b68695ab6d3387dc91bae0,train,test
images__train__exp26_rfbat_1e992515abf4e6af13e89fbf,train,test
images__train__exp26_rfbat_3d1f490e9f4d906cf0602397,train,test
images__train__exp26_rfbat_5b53b1196d8137ba4d06bc4f,train,test
images__train__exp26_rfbat_c65dd594d1c3a020eafbaf87,train,test
images__train__exp26_gen_46a5bb99bf3063782ccff6b4,train,test
images__train__exp26_gen_52ad86f6b951e9a231cc8a46,train,test
images__train__exp26_gen_8d6af82ce2b635562f08ad51,train,test
images__train__exp26_gen_135a47b596dbb86cbade48a6,train,test
images__train__exp26_gen_1a09d4412ccef3fa9fceb89a,train,test
images__train__exp26_gen_408e98f4a6d631a5010792d9,train,test
images__train__exp26_gen_ee8fbfabfc16f13c45ff36cf,train,test
images__train__exp26_rfbat_3d205be9c16f35331b0e0aca,train,test
images__train__exp26_rfbat_8306e76eba02861f3bc3821b,train,test
images__train__exp26_gen_427ec4eb3c0b5c9b3fee39b0,train,test
images__train__exp26_gen_7051bd8a0f2d77fca4d8b1fc,train,test
images__train__exp26_gen_c41eb44f3813951b4d3234f3,train,test
images__train__exp26_gen_f29dbfb1ff6c0ec948d3a90c,train,test
images__train__s1_auto_c6ddadad1142543b4959103b,train,test
images__train__exp26_rfbat_263a904a2f048c191ca401fc,train,test
images__train__exp26_rfbat_3558221f98c2070b3272abd4,train,test
images__train__s1_auto_9389f46bd69827d454ca9272,train,test
images__train__exp26_rfbat_35e03c6f5e7528ef149a391d,train,test
images__train__exp26_rfbat_69810c3daef1e80cd2ec2bfa,train,test
images__train__exp26_gen_1be21beb881b0ecc62f61734,train,test
images__train__exp26_gen_450e1dcdb327192f700f03eb,train,test
images__train__exp26_gen_a686fd177c1fbf8e075fb6f7,train,test
images__train__s1_lm_fb0bc4065449a1f6b7c59610,train,test
images__train__exp26_gen_1d4f89084be7429251a73efb,train,test
images__train__exp26_gen_5226263647f32efb1dbac33d,train,test
images__train__exp26_gen_986cb6a6f7127d24a9b86d29,train,test
images__train__exp26_gen_a0e12522d30f1351f74661a6,train,test
images__train__s3_taco_000939,train,test
images__train__exp26_rfbat_01d936ddb1e8c9111a4a5f23,train,test
images__train__exp26_rfbat_ca1d09aaec8493cef5574e76,train,test
images__train__s1_auto_a11852de6ac4469ee1ab5457,train,test
images__train__s3_taco_001404,train,test
images__train__s1_auto_0064f1afda5e81db3abc5677,train,test
images__train__s1_lm_47c6c7279df1ec8ad1309c45,train,test
images__train__exp26_gen_23627b8404f2e3f8f487a07a,train,test
images__train__exp26_gen_3cddb3361a8e688557968b5e,train,test
images__train__exp26_gen_403145dbdf569901a3b1c4ee,train,test
images__train__exp26_gen_57e6fdb2ddbc4f7af3a84a5e,train,test
images__train__s1_auto_efc8ea5b3d161eb4bfcf2113,train,test
images__train__s1_lm_3efb4267ac82176e42837eca,train,test
images__train__exp26_rfbat_1a07afd4833440a1c51e07d8,train,test
images__train__exp26_rfbat_ec23815ec92e011d7d045c04,train,test
images__train__exp26_gen_51982a5ff3a6d3349026b9b2,train,test
images__train__exp26_gen_64debfd3982f32994fffb6b3,train,test
images__train__exp26_gen_f54bd4c43db5c2bcc7bf4fa9,train,test
images__train__s1_auto_65ab3dc1a6b9f079adb4d232,train,test
images__train__exp26_gen_06da67f73010efa3c6a690cd,train,test
images__train__exp26_gen_72acfd3297dd98120f194f88,train,test
images__train__exp26_gen_9865acdba95d72dd278ec057,train,test
images__train__exp26_gen_375440d8435fd0f0a3e46523,train,test
images__train__exp26_gen_400d80268fbfc747379ba170,train,test
images__train__exp26_gen_99cfd801c3808627b5bbaa65,train,test
images__train__exp26_gen_ae1b33ec563aa835dd688b10,train,test
images__train__exp26_rfbat_1acb84c1bd3cefcc1d039e5a,train,test
images__train__exp26_rfbat_8c3ad17d42e2add4f54c9559,train,test
images__train__exp26_gen_a33a635ca3140a91c36401b7,train,test
images__train__exp26_gen_bed07825dd103b40143fe574,train,test
images__train__exp26_gen_f02fbf9bde8d3d30f42c1110,train,test
images__train__s1_auto_c19d5a36de24d8b361f965fb,train,test
images__train__exp26_rfbat_03074c21086ea2a0e40a8e78,train,test
images__train__exp26_rfbat_99de778e18c8143b165cc0f3,train,test
images__train__exp26_rfbat_a78eb41434a059ec53108d7d,train,test
images__train__exp26_rfbat_e7c6c2d710e6d8fcf0de64f2,train,test
images__train__exp26_rfbat_f2950a9e0390503b46138a6e,train,test
images__train__exp26_rfbat_f5cd09c4c9126ed5a9172ef2,train,test
images__train__s1_auto_f256717e6476ff576ae22b06,train,test
images__train__s1_auto_f7f0f94e0aa04ec68a063ed0,train,test
images__train__s1_auto_048cb6461716d7dba1f995dd,train,test
images__train__exp26_gen_0ce8c6e7eddc486c4674d39d,train,test
images__train__exp26_gen_28ba358aacc53c2b1e6db2d7,train,test
images__train__exp26_gen_c66f00c110b1cf1352bd0559,train,test
images__train__exp26_rfbat_0a831e103b3b3664016fb95a,train,test
images__train__exp26_rfbat_ae024284af274323e3881c82,train,test
images__train__exp26_gen_109c0e0b8bd93a0e35eb2d8e,train,test
images__train__exp26_gen_627253fe772c17a2d2af3a97,train,test
images__train__exp26_gen_95f5773ac7e3ae9f75aacb5c,train,test
images__train__exp26_gen_d72828dad8a2be22e8e7f51f,train,test
images__train__s1_auto_ce2281de75701a74f8c38e75,train,test
images__train__exp26_gen_3d2345e1a84bebb502b7299e,train,test
images__train__exp26_gen_abb3758e654e302a25d140d1,train,test
images__train__exp26_gen_d9ce7a39ff994b96a404e707,train,test
images__train__exp26_rfbat_759d50b702cb3d89a5bbdd50,train,test
images__train__exp26_rfbat_d81755b0e81adc226d12511d,train,test
images__train__exp26_gen_3d9df5b4b3f4fb82b8ccec8a,train,test
images__train__exp26_gen_9d4390c80693e4a338135ba8,train,test
images__train__exp26_gen_b178bad0cafc8e2e9c92aa19,train,test
images__train__exp26_gen_f1b6834f02703656d05dba13,train,test
images__train__s1_auto_6f911708043cd08f390ffd7c,train,test
images__train__exp26_gen_4a43ff668ace928b01d4faba,train,test
images__train__exp26_gen_4d4ec1bc1caf743e93f3bbe5,train,test
images__train__exp26_gen_5f2ab805288fa9785db867d1,train,test
images__train__s1_lm_68cea20d9dccddb0404953be,train,test
images__train__s1_lm_12bc6d98b49057c52adb7719,train,test
images__train__s1_auto_806ad0b5d977d39437455546,train,test
images__train__s1_lm_2927ce2340f69f27ecf75da0,train,test
images__train__s1_lm_6ed6a57ece08abcb090842fd,train,test
images__train__s2_f_17_x003_c014_1027_0,train,test
images__train__s2_f_17_x003_c014_1027_1,train,test
images__train__s1_lm_50fecd7d4bbbdc6ff26cc64a,train,test
images__train__s1_lm_c521080504feae2e2e25c854,train,test
images__train__s1_lm_b0e5ab15ea79cb1b25911b3d,train,test
images__train__s1_lm_3776bce60d66cb75c02fb1a2,train,test
images__train__s2_f_17_x005_c015_1117_0,train,test
images__train__s2_f_17_x005_c015_1117_2,train,test
images__train__s1_lm_1933825fe6745793260661be,train,test
images__train__s1_lm_52f4f4b3d28b8fc059425b3c,train,test
images__train__s1_lm_566ff5f4786a7855f87a1197,train,test
images__train__s1_rf_8444e46abf7ae69cd00c473f,train,test
images__train__s3_taco_000043,train,test
images__train__s1_lm_42be5e5fcaa86ef657bff6e9,train,test
images__train__s1_lm_ea148238058d98799daebef1,train,test
images__train__s1_lm_b4f19c5e6d32806b20bd906c,train,test
images__train__s1_lm_2f9c34f7625d7de34e040228,train,test
images__train__s1_lm_e0de2d5fc636889e11fc27d4,train,test
images__train__s1_lm_23bd1db024370f2f91a467a6,train,test
images__train__s1_lm_bd17411cb767b4ca291e6420,train,test
images__train__s1_lm_153c33bf4f92d17e184e5c6e,train,test
images__train__s1_lm_64d990415988cb4cae0f6289,train,test
images__train__s1_lm_967db7b7ca72e01ebb64f480,train,test
images__train__s1_lm_7fb7b3a1cd700736f207cb77,train,test
images__train__s1_lm_3d2c0f73c01f05857a333d33,train,test
images__train__s1_lm_86a567e0b397520940b2b5cb,train,test
images__train__s1_lm_d0b4a526e19325eeb773c0ff,train,test
images__train__s1_lm_882f5af1982f868b330311bf,train,test
images__train__s1_lm_024d47e835def510afc17935,train,test
images__train__s1_lm_98828992c3b30d04a523207b,train,test
images__train__s1_rf_195ef20fa768635e2c22855b,train,test
images__train__s3_taco_001101,train,test
images__train__s1_lm_edab3ab955faf39346b4ba7b,train,test
images__train__s1_lm_27b85f8da54979206696eac5,train,test
images__train__s1_lm_6237ed3d020b0b2dfc11797b,train,test
images__train__s1_lm_1ea170dec306d44e3033fcef,train,test
images__train__s1_lm_f5c2e197833d6d6ba60431c8,train,test
images__train__s1_lm_c5cb75752d5a37403e546c89,train,test
images__train__s1_lm_14bbbef8e8a481f06c944af8,train,test
images__train__s1_lm_c397dce3d9b60c56865816e0,train,test
images__train__s1_lm_eff4e8709a5decc5a4edcba3,train,test
images__train__s1_lm_1e3707d18f0a4bac94d4d7c3,train,test
images__train__s1_lm_1dcfd924a7dda2b5ff74bd57,train,test
images__train__s2_f_17_x488_c777_0330_1,train,test
images__train__s2_f_17_x488_c777_0330_4,train,test
images__train__s1_lm_c828945c289e0130f4522e96,train,test
images__train__s1_lm_4e1cd16382d9651d419ced24,train,test
images__train__s1_lm_6316a07ae0363ee9ba521edc,train,test
images__train__s1_lm_dc4fc5a711d7f799c8440ef5,train,test
images__train__s3_taco_000010,train,test
images__train__s1_lm_40251d54c66d958bb82f9ff7,train,test
images__train__s2_f_17_x322_c500_0331_2,train,test
images__train__s2_f_17_x322_c500_0331_3,train,test
images__train__s1_lm_f05566a6dfb9337fa02a7378,train,test
images__train__s1_lm_8cdefd40a92faad4495633fe,train,test
images__train__s1_lm_7b71cbe9328c55231536fcec,train,test
images__train__s1_lm_ba56bab8791b525ab960b5e2,train,test
images__train__s1_lm_8024424581f055d0060a5c35,train,test
images__train__s1_lm_c39395f0ff5350b10845cea1,train,test
images__train__s1_lm_73a200362a4a4c80e51e56fe,train,test
images__train__s1_lm_6e2db40162ebbcdaba378f6e,train,test
images__train__s1_lm_34acc9a7c7ddf7209ac59063,train,test
images__train__s1_lm_dfc92a36e51c73cadd069cd9,train,test
images__train__s1_lm_d38dac4c0c30917f21ebb81c,train,test
images__train__s1_lm_abaa10e1c387f336c6433aeb,train,test
images__train__s1_lm_6c785240501700c7ff26524a,train,test
images__train__s1_lm_16a182003dc2d515605e59de,train,test
images__train__s1_lm_4f4b8ce1ff5e10defb45da26,train,test
images__train__s1_lm_5fb167a90fe32f9262813b4e,train,test
images__train__s1_lm_63c243fa8ad3a45f46d0ffa9,train,test
images__train__s3_taco_000605,train,test
images__train__s1_lm_51b60e784affa81003ce87ed,train,test
images__train__s1_lm_0a75a62a83812449de6eb3e8,train,test
images__train__s1_lm_1062f19ebb8686fc36a2155d,train,test
images__train__s1_lm_64b836500ef31e41cb57deff,train,test
images__train__s1_lm_6028e827fa9b61bb649cb681,train,test
images__train__s1_lm_7e35beb2a5bd76cffd18a924,train,test
images__train__s1_lm_4887f1c5ec0837dd76e0ec0c,train,test
images__train__s1_lm_b724daba4af9673513c4f671,train,test
images__train__s1_lm_4f76c4cd199bbf969ee42cf3,train,test
images__train__s1_lm_0b4063e5f02db2ee7b50312a,train,test
images__train__s1_lm_e43fa16203992669f758014c,train,test
images__train__s1_lm_3d7cdd3bdf7572e95f982277,train,test
images__train__s1_lm_0e1d5b937e79d50890f5dc2f,train,test
images__train__s1_lm_1f3d0b3ceb5d8e5352dd4664,train,test
images__train__s1_lm_a4102c62e5668704d7a7eda4,train,test
images__train__s1_lm_de5eec9d21b4cfb574290ec0,train,test
images__train__s1_lm_78bfdfcbb767cae9098e142a,train,test
images__train__s1_lm_2e5be49724b835952b6873a4,train,test
images__train__s1_lm_651552ce92e78254691488b4,train,test
images__train__s1_lm_f39512eb39439b8e6c5b1e18,train,test
images__train__s2_f_17_x021_c320_1126_3,train,test
images__train__s2_f_17_x021_c320_1126_4,train,test
images__train__s1_lm_97a0cc94a40afabd9d6c9eef,train,test
images__train__s1_lm_fd680c0a3b1871f99151d598,train,test
images__train__s1_lm_8c2f77326690dc322ede1241,train,test
images__train__s1_lm_8e01c7413fb9d68f0d5e05ef,train,test
images__train__s1_lm_ccbb929e77fe52bc83e579cd,train,test
images__train__s1_lm_f820af65afacb6ddf260ce8f,train,test
images__train__s1_lm_c3292a417792f9bd6343f8b3,train,test
images__train__s1_lm_b06ab410377097e35655730f,train,test
images__train__s1_lm_60962d75a92c4b7811eb3b50,train,test
images__train__s1_lm_3e4d9dce0817f378c894c73c,train,test
images__train__s1_rf_1bdf4aed3eae2b313ac598f2,train,test
images__train__s3_taco_001493,train,test
images__train__s1_lm_dbf4b8eef1c21adfeee04187,train,test
images__train__s1_lm_b7c9e192369f63ea90add010,train,test
images__train__s1_lm_f9b12a924d4418fe467dfd1d,train,test
images__train__s1_lm_075919daeb500690d06faccf,train,test
images__train__s1_lm_40edd374340958a3deac16b3,train,test
images__train__s1_lm_42522d587142c3b1ca3be1bc,train,test
images__train__s1_rf_0eb16e6ab0084b469f96a06c,train,test
images__train__s3_taco_000039,train,test
images__train__s1_lm_1d944f4270e5410d4e341ae7,train,test
images__train__s1_lm_fcf61779ae3b64897068946b,train,test
images__train__s1_lm_f430ce711afafb9c3d24014c,train,test
images__train__s1_lm_c493775c3dc3badc07026b65,train,test
images__train__s1_lm_c014469eefdabf1d6688c73c,train,test
images__train__s1_lm_f994accaf44121cb0aa0f6c5,train,test
images__train__s1_lm_98bd843c5868bfb8b059228b,train,test
images__train__s1_lm_83fb5d1c436bec36c9c17083,train,test
images__train__s1_lm_d54b0eb0dc5bbc2ad26521ef,train,test
images__train__s1_lm_4afd67caa5479fd9ae9c2c22,train,test
images__train__s1_lm_3520a3b4e8d24f07c133b51d,train,test
images__train__s1_lm_23c4c1b8c95f01fa9752d02c,train,test
images__train__s1_lm_c995dc432de690eb69c94e27,train,test
images__train__s1_lm_e4bb7fc4b7176d0eb9da4f11,train,test
images__train__s1_lm_70f27a57c91de025e04eba9c,train,test
images__train__s2_f_17_x004_c205_1105_2,train,test
images__train__s2_f_17_x004_c205_1105_4,train,test
images__train__s1_lm_0114d898056e59cd2756e6ee,train,test
images__train__s1_lm_a23f9d516be979ef69406209,train,test
images__train__s1_lm_3570fd46f8bb245253e226b5,train,test
images__train__s1_lm_30c137c25e0e14d81254610b,train,test
images__train__s1_lm_b6b087568e4437f145e8cbda,train,test
images__train__s1_lm_5abd8d950cbbc148e971901f,train,test
images__train__s1_lm_f9fdfb0b493860a293419059,train,test
images__train__s1_lm_c56daec767fa6f74d467a413,train,test
images__train__s1_lm_63ef56139764216b663676f5,train,test
images__train__s1_lm_a49354166de10c4ecfdaf015,train,test
images__train__s1_lm_98ddc34c7d7db8c0d3538927,train,test
images__train__s1_lm_13ad5ab1e575bfa022fc9f69,train,test
images__train__s1_lm_2b61ef09b1881fd569391f29,train,test
images__train__s1_lm_953c10162e3ca0385a63fbd1,train,test
images__train__s2_f_17_x002_c190_1201_2,train,test
images__train__s2_f_17_x002_c190_1201_3,train,test
images__train__s1_lm_0cbf7b3283b2bbb7aaeed519,train,test
images__train__s2_f_17_x006_c015_1022_0,train,test
images__train__s2_f_17_x006_c015_1022_1,train,test
images__train__s1_lm_4b1a32659f4b8221d4f1e61f,train,test
images__train__s1_lm_05bcd9d93f0198ed07e8d8f3,train,test
images__train__s2_f_17_x251_c777_0330_0,train,test
images__train__s2_f_17_x251_c777_0330_1,train,test
images__train__s1_lm_90615982df057344d8922f29,train,test
images__train__s1_lm_6cbde64549a9d552d97adda2,train,test
images__train__s1_lm_52f8abadfe886ae06ac8fa4b,train,test
images__train__s1_lm_171d4f86867f92af7a971dd8,train,test
images__train__s1_lm_7f0b5c89ce1fbb2ad927f60d,train,test
images__train__s1_lm_01dfef3891ad609966686d91,train,test
images__train__s1_lm_7b4e5a96ce637acc2330671c,train,test
images__train__s1_lm_aa11a19014d72fe974522399,train,test
images__train__s1_lm_01642351903f90275b212b19,train,test
images__train__s1_lm_8b9f9bb2ad4302bbe45ae85f,train,test
images__train__s1_lm_af4dd52e9180d45f4dc300e6,train,test
images__train__s2_f_17_x022_c329_1116_5_2,train,test
images__train__s2_f_17_x022_c329_1116_5_3,train,test
images__train__s1_lm_5715f991659c3bcc81644dfd,train,test
images__train__s1_lm_019a74004e43ea4604583707,train,test
images__train__s2_f_17_x092_c500_0331_0,train,test
images__train__s2_f_17_x092_c500_0331_2,train,test
images__train__s1_lm_188fed114c2c5d251da46a04,train,test
images__train__s1_lm_94a6091439848d1e75448ac5,train,test
images__train__s1_lm_8939c8f545e7ee5fca9da0c0,train,test
images__train__s1_lm_1390eaa8c9f3643dd60b5ed5,train,test
images__train__s1_lm_59d4e32b4443061e6dff8c61,train,test
images__train__s1_lm_6d0d8ea212dde70ab2c8fb28,train,test
images__train__s1_lm_e14799a83b6afa9cef262cc8,train,test
images__train__s1_lm_59bde776f0b5d8a2792ea897,train,test
images__train__s1_lm_96301a61af436b63c5c6ad3d,train,test
images__train__s1_lm_e57e0409744fde5a343bdc63,train,test
images__train__s1_lm_ccbe22a3d8a207832a8077c6,train,test
images__train__s1_lm_21a6861ae08d25db8a1f417f,train,test
images__train__s2_f_17_x135_c509_0111_2,train,test
images__train__s2_f_17_x135_c509_0111_4,train,test
images__train__s1_lm_beb081aa1ddbd42522ce94ed,train,test
images__train__s1_lm_e4eb7dea5ffb74ece215df0f,train,test
images__train__s1_lm_8cb42d9421a836941bc523be,train,test
images__train__s1_lm_675c621cc9a478568ae9d197,train,test
images__train__s1_lm_55bb07c376d9cdcfab683aa5,train,test
images__train__s2_f_17_x009_c190_1201_0,train,test
images__train__s2_f_17_x009_c190_1201_1,train,test
images__train__s1_lm_2a573bb9a23da90062c52c6b,train,test
images__train__s1_lm_d66dca0e755dcb060e42e6c1,train,test
images__train__s1_rf_e7b8e5170a8792e2313428ec,train,test
images__train__s3_taco_001044,train,test
images__train__s2_f_17_x325_c500_0331_2,train,test
images__train__s2_f_17_x325_c500_0331_3,train,test
images__train__s1_lm_0f32100ae7cac14e8d176c3b,train,test
images__train__s1_lm_179c627f75bec611e49a4caa,train,test
images__train__s1_lm_1d6ebb16be7b4f886c6bd56e,train,test
images__train__s1_lm_c41fd0bf8fc06f7f68a134b6,train,test
images__train__s1_lm_114b5a9b1131e722ceae339d,train,test
images__train__s1_lm_7fd34f75620ffa4fa54ab31d,train,val
images__train__s1_lm_afc7f61776a8b14d05e5e935,train,val
images__train__s1_lm_d0488a3fa3676ce302501eb2,train,val
images__train__s1_lm_6877531945aab2bcfd35d7b7,train,val
images__train__s1_lm_f07b891b7f749112af857db6,train,val
images__train__s1_lm_67de270b87f34da5be2523c2,train,val
images__train__s1_lm_9ee4fe7124f7dd342033ca2f,train,val
images__train__s1_lm_47fc43d59b71aae2dd427ee4,train,val
images__train__s1_lm_9e0581aadbad7499fbee3d4c,train,val
images__train__s1_lm_c4ac7d80e5b92810e5b9333b,train,val
images__train__s1_lm_7222618905600363db0c076e,train,val
images__train__s1_lm_0b6a273576c8f8be108e4932,train,val
images__train__s1_lm_632ef781e1b139798ebc2010,train,val
images__train__s1_lm_1938869bf160b93aafca2666,train,val
images__train__s1_lm_77eae584e301986344cf04f6,train,val
images__train__s3_taco_000958,train,val
images__train__s3_taco_000155,train,val
images__train__s3_taco_001435,train,val
images__train__s3_taco_000121,train,val
images__train__s1_lm_ee2f5f2deb41c8c74cf207c6,train,val
images__train__s1_lm_7a951a5b65613936c2e72dcb,train,val
images__train__s1_lm_b54b3b3fec6e83b23a1dcd43,train,val
images__train__s3_taco_001327,train,val
images__train__s1_lm_e91bc5a34b761156e32facd4,train,val
images__train__s1_rf_5e026834da2d6247008d9918,train,val
images__train__s3_taco_001494,train,val
images__train__s3_taco_000757,train,val
images__train__s3_taco_000815,train,val
images__train__s2_f_17_x004_c193_1105_0,train,val
images__train__s2_f_17_x004_c193_1105_1,train,val
images__train__s2_f_17_x004_c193_1105_2,train,val
images__train__exp26_gen_02d869103c7862a65cf77d57,train,val
images__train__exp26_gen_11ab151edf84874cadbf68d3,train,val
images__train__exp26_gen_7cb01b8c10d193ffa86cb5c0,train,val
images__train__exp26_gen_d51b33e0e8a0e2ec6a0b07fc,train,val
images__train__exp26_rfbat_02b61029f3ed14e944d93cdb,train,val
images__train__exp26_rfbat_a1d7998ba2534407d72a0424,train,val
images__train__exp26_rfbat_c98a1361256ecbc37c284629,train,val
images__train__exp26_rfbat_397c243d5889ccf93ee62445,train,val
images__train__exp26_rfbat_f5c91e92318c4993db88a677,train,val
images__train__exp26_gen_20c3dc419034a059afaee66d,train,val
images__train__exp26_gen_7a34382880645929e02f1950,train,val
images__train__exp26_gen_7ad2e630dc51f953bff89824,train,val
images__train__exp26_gen_f277038c59f049ac3be7856f,train,val
images__train__exp26_gen_1ec911a6d7ad4a4b607a54a1,train,val
images__train__exp26_gen_5887c86e35486f5c3f61310e,train,val
images__train__exp26_gen_a5ad17771d87a37756bd1b5b,train,val
images__train__exp26_gen_fdc4bcb2fe6f954e581c6c45,train,val
images__train__s2_supp_recybat24_09658b4aec0f0b2a5127,train,val
images__train__s2_supp_recybat24_0a234149d140c1c7271e,train,val
